record_id,title,included_in_validated_candidate_corpus,exclusion_reason,description_segments_total,narrative_segments,materials_segments,ambiguous_segments,has_narrative_document,has_materials_document,baseline_description_words
/2020601/https___1914_1918_europeana_eu_contributions_1020,"Karl Beck, ein Schreiner aus Stuttgart als Soldat im Elsass | Letters to his wife, the photo and postcard album of a soldier (formerly a carpenter from Stuttgart) who served from 1914 till 19th Feb. 1915 when he died in Alsace.",True,,1,1,0,1,True,False,70
/2020601/https___1914_1918_europeana_eu_contributions_10200,FRAD066_067A Etienne PARES | Documents of Etienne PARES,True,,2,1,1,0,True,True,108
/2020601/https___1914_1918_europeana_eu_contributions_10202,Album mit Motiven von der Ost- und Westfront | Album with motives from Eastern- and Western Front,True,,2,0,2,0,False,True,99
/2020601/https___1914_1918_europeana_eu_contributions_10210,AMSM-002_2 : Correspondance à mon grand oncle Auguste PIERREQUIN | correspondence of my grand uncle Auguste PIERREQUIN,True,,2,0,2,0,False,True,166
/2020601/https___1914_1918_europeana_eu_contributions_10219,Aquarelle vom Dorjan-See in Mazedonien | Aquarelles from Macedonia,True,,2,1,1,0,True,True,191
/2020601/https___1914_1918_europeana_eu_contributions_10224,Frans Van Sante in 'Den Grooten Oorlog' | Frans Van Sante in 'Den Grooten Oorlog',True,,2,1,1,1,True,True,249
/2020601/https___1914_1918_europeana_eu_contributions_10226,Bateau La Plata | SS (La) Plata,True,,1,0,1,0,False,True,45
/2020601/https___1914_1918_europeana_eu_contributions_10231,"FRAD067-119 Cartes reçues de Wilhelm Keller (1873-1920) (armée allemande) par son épouse Salomé Eberhardt (1874-1955), à Bischheim (Bas-Rhin) | Postcards from Wilhelm Keller",True,,2,0,2,0,False,True,504
/2020601/https___1914_1918_europeana_eu_contributions_10241,"FRBMLY-60 Histoire de Fortuné Avid, sauvé par son livret militaire | Documents from Jean-Claude Avid",True,,2,1,1,0,True,True,196
/2020601/https___1914_1918_europeana_eu_contributions_10245,FRAD048-020 Un père et un fils au front | Documents from Jean-Marie et Marie-Thérèse GUILLEN,True,,1,1,0,0,True,False,100
/2020601/https___1914_1918_europeana_eu_contributions_10254,FRBNBU-095 Histoire du canonnier Henri Portret et de ses frères | Henri Portret was a guner,True,,2,1,1,1,True,True,244
/2020601/https___1914_1918_europeana_eu_contributions_10255,FRBMLY-63 Jean Noyer mon grand-père | Documents from PJ Rossignol,True,,2,1,1,0,True,True,137
/2020601/https___1914_1918_europeana_eu_contributions_10257,"FRBMBO-69 Familles Germain, Dardant et Andrault | Story of the families Germain, Dardant and Andrault",True,,1,1,0,0,True,False,141
/2020601/https___1914_1918_europeana_eu_contributions_10265,FRBMBO-053 Histoire du soldat Alphonse Robine | Alphonse Robine's story,True,,2,0,2,0,False,True,103
/2020601/https___1914_1918_europeana_eu_contributions_10267,FRBMLY-65 Mon grand-père ce héros | Documents from Chantal Danel,True,,2,1,1,0,True,True,289
/2020601/https___1914_1918_europeana_eu_contributions_10268,"Auguste, Joseph LECHANTEUX 1884-1950 | Documents of Auguste Joseph Lechanteux",True,,2,1,1,1,True,True,236
/2020601/https___1914_1918_europeana_eu_contributions_10271,FRBMLY-66 Histoire de mes grands parents Henri et Marie-Louise Mermin | Story of my grandparents,True,,2,1,1,0,True,True,126
/2020601/https___1914_1918_europeana_eu_contributions_10275,Wilhelm Sandvoß´ Einsatz an der Ost- und Westfront | Wilhelm Sandvoß mission at Eastern and Western Front,True,,2,1,1,1,True,True,137
/2020601/https___1914_1918_europeana_eu_contributions_10276,FRBNBU-022 Gaston-René Gorret mort pour la France dès septembre 1914 | Documents about Gaston Gorret died in 1914,True,,2,1,1,0,True,True,59
/2020601/https___1914_1918_europeana_eu_contributions_1028,"Album zur Erinnerung an Hermann Stegmayer mit Fotos aus Galizien und Frankreich | Album with photos of Hermann Stegmayer, his deployments to France (Vosges, Laon) and Galicia (today: Poland, Ukraine) and his grave in Crécy sur Serre, assembled by his niece.",True,,1,0,1,0,False,True,206
/2020601/https___1914_1918_europeana_eu_contributions_10285,FRBMLY-71 Histoire de Georges Robart | Story of Georges Robart,True,,2,1,1,0,True,True,76
/2020601/https___1914_1918_europeana_eu_contributions_10289,FRAM - Louis Cavil (1879-1922) | Documents from Louis Cavil,True,,2,1,1,0,True,True,107
/2020601/https___1914_1918_europeana_eu_contributions_10293,"FRBNBU-136 Emile Woirgard, lorrain, combat pour l'Allemagne | Emile Woirgard was german at the beginning of the war and french after the war",True,,2,1,1,0,True,True,197
/2020601/https___1914_1918_europeana_eu_contributions_10295,"FRBNBU-106 Histoire de Joseph Auguste Chenavier, grand-père de Guy Chevenet | Joseph Auguste Chenavier's story",True,,2,1,1,0,True,True,112
/2020601/https___1914_1918_europeana_eu_contributions_10297,FRBMBO-070 Histoire du soldat Albéric Bru | Albéric Bru's story,True,,2,1,1,0,True,True,142
/2020601/https___1914_1918_europeana_eu_contributions_10304,Tagebuch des jungen Bernhard Bültemann aus Halle | The diary of young Bernhard Bültemann,True,,2,2,0,1,True,False,431
/2020601/https___1914_1918_europeana_eu_contributions_10307,FRAD066_090 Barthélémy Garreta | Documents of Barthélémy Garreta,True,,2,1,1,0,True,True,244
/2020601/https___1914_1918_europeana_eu_contributions_10314,"FRAD043_060 Alexis Rispal, soldat de la Grande guerre | Documents about Alexis Rispal",True,,2,1,1,0,True,True,235
/2020601/https___1914_1918_europeana_eu_contributions_10325,"FRAD058_021 M;Louis TOLLET, M. Etienne NOLOT | Documents from Mr Guy François Nolot",True,,2,0,2,0,False,True,56
/2020601/https___1914_1918_europeana_eu_contributions_10329,FRAD066_091 Georges Dubos et Marcel Vincent | Documents of Georges Dubos and Marcel Vincent,True,,2,1,1,1,True,True,174
/2020601/https___1914_1918_europeana_eu_contributions_10333,FRBNBU-119 Eugène Lucien Lebert cavalier au 15ème régiment de Chasseurs | Eugène Lucien Lebert was in the cavalery,True,,2,1,1,0,True,True,99
