record_id,title,included_in_final_corpus,reason,story_words,materials_words
/2020601/https___1914_1918_europeana_eu_contributions_1020,"Karl Beck, ein Schreiner aus Stuttgart als Soldat im Elsass | Letters to his wife, the photo and postcard album of a soldier (formerly a carpenter from Stuttgart) who served from 1914 till 19th Feb. 1915 when he died in Alsace.",True,Meets minimum narrative length,70,0
/2020601/https___1914_1918_europeana_eu_contributions_10200,FRAD066_067A Etienne PARES | Documents of Etienne PARES,True,Meets minimum narrative length,59,49
/2020601/https___1914_1918_europeana_eu_contributions_10201,FRAD066_067B Edouard LASSERRE | Documents from Edouard LASSERRE,False,Main story has fewer than 40 words,31,18
/2020601/https___1914_1918_europeana_eu_contributions_10202,Album mit Motiven von der Ost- und Westfront | Album with motives from Eastern- and Western Front,True,Meets minimum narrative length,83,16
/2020601/https___1914_1918_europeana_eu_contributions_10210,AMSM-002_2 : Correspondance à mon grand oncle Auguste PIERREQUIN | correspondence of my grand uncle Auguste PIERREQUIN,True,Meets minimum narrative length,163,3
/2020601/https___1914_1918_europeana_eu_contributions_10219,Aquarelle vom Dorjan-See in Mazedonien | Aquarelles from Macedonia,True,Meets minimum narrative length,156,35
/2020601/https___1914_1918_europeana_eu_contributions_10224,Frans Van Sante in 'Den Grooten Oorlog' | Frans Van Sante in 'Den Grooten Oorlog',True,Meets minimum narrative length,228,21
/2020601/https___1914_1918_europeana_eu_contributions_10226,Bateau La Plata | SS (La) Plata,True,Meets minimum narrative length,45,0
/2020601/https___1914_1918_europeana_eu_contributions_10231,"FRAD067-119 Cartes reçues de Wilhelm Keller (1873-1920) (armée allemande) par son épouse Salomé Eberhardt (1874-1955), à Bischheim (Bas-Rhin) | Postcards from Wilhelm Keller",True,Meets minimum narrative length,499,5
/2020601/https___1914_1918_europeana_eu_contributions_10241,"FRBMLY-60 Histoire de Fortuné Avid, sauvé par son livret militaire | Documents from Jean-Claude Avid",True,Meets minimum narrative length,191,5
/2020601/https___1914_1918_europeana_eu_contributions_10245,FRAD048-020 Un père et un fils au front | Documents from Jean-Marie et Marie-Thérèse GUILLEN,True,Meets minimum narrative length,100,0
/2020601/https___1914_1918_europeana_eu_contributions_10254,FRBNBU-095 Histoire du canonnier Henri Portret et de ses frères | Henri Portret was a guner,True,Meets minimum narrative length,154,90
/2020601/https___1914_1918_europeana_eu_contributions_10255,FRBMLY-63 Jean Noyer mon grand-père | Documents from PJ Rossignol,True,Meets minimum narrative length,127,10
/2020601/https___1914_1918_europeana_eu_contributions_10257,"FRBMBO-69 Familles Germain, Dardant et Andrault | Story of the families Germain, Dardant and Andrault",True,Meets minimum narrative length,141,0
/2020601/https___1914_1918_europeana_eu_contributions_10265,FRBMBO-053 Histoire du soldat Alphonse Robine | Alphonse Robine's story,True,Meets minimum narrative length,90,13
/2020601/https___1914_1918_europeana_eu_contributions_10267,FRBMLY-65 Mon grand-père ce héros | Documents from Chantal Danel,True,Meets minimum narrative length,285,4
/2020601/https___1914_1918_europeana_eu_contributions_10268,"Auguste, Joseph LECHANTEUX 1884-1950 | Documents of Auguste Joseph Lechanteux",True,Meets minimum narrative length,158,78
